accident_parking,age_of_driver,high_education_ind,age_of_driver_sq,marital_status,address_change_ind,witness_absent,no_verification,claim_year,zip_rate_x_accident_highway,age_of_driver_x_safty_rating,female_x_witness_absent,vehicle_price_per_driver_age,safty_rating,safty_rating_x_liab_prct,age_over_safety,age_of_driver_x_liab_prct,safety_risk_score,day_of_week_sin,female_x_liab_prct,unstable_lifestyle,witness_present_ind,vehicle_weight_x_liab_prct,female_x_zip_fraud_rate_oof,day_of_week_cos,liab_prct_sq,vehicle_price,day_of_week_num,zip_rate_x_is_female,payout_to_income_ratio_clipped,safty_rating_sq,gender_oof_rate,liab_prct,liab_over_income_k,zip_rate_x_annual_income,zip_fraud_rate_oof,zip_rate_x_liab_prct,claim_day,residual_value_ratio,residual_to_income_ratio,fraud
0,58,1,3364,1.0,0,0,0,2015,0.0,4814,0,949.4288726560565,83,7304,0.6904761904761905,5104,17,0.4338837391175582,0,0,1,1893333.16128,0.0,-0.900968867902419,7744,55066.87556348014,3,0.0,0.0,6889,0.1378622706726934,88,0.7450366168564535,12198.064734299507,0.1041545893719806,9.165603864734294,2,0.7,0.3291364291005162,0.0
1,37,1,1369,0.0,0,1,1,2015,0.0,2812,1,809.1233861414973,76,152,0.4805194805194805,74,24,0.0,2,0,0,45140.89684,0.1242987249544626,1.0,4,29937.566096358787,0,0.1242987249544626,0.0,5776,0.1805757487641756,2,0.0339299346848757,7202.489617486336,0.1242987249544626,0.2485974499089252,14,1.0,0.5166548640235074,0.0
0,33,1,1089,0.0,0,0,0,2016,0.0,2706,0,454.5454407713503,82,7790,0.3975903614457831,3135,18,-0.9749279121818236,95,0,1,1016603.417,0.1009673202614379,-0.2225209339563146,9025,15000.0,5,0.1009673202614379,0.0,6724,0.1792109477362061,95,1.1870993539680357,7979.144418300652,0.1009673202614379,9.5918954248366,13,1.0,0.1898085464437495,0.0
1,43,1,1849,0.0,0,1,1,2015,0.0,1720,1,2159.705866232251,40,4000,1.048780487804878,4300,60,0.0,100,0,0,2143493.439,0.2029390681003584,1.0,10000,92867.35440769266,0,0.2029390681003584,0.0086319816527781,1600,0.1767939814814814,100,1.0045808888531704,19998.42752688172,0.2029390681003584,20.29390681003584,28,1.0,0.9423948125380568,1.0
1,43,1,1849,1.0,1,1,1,2016,0.0,3612,1,1722.5984451330469,84,4872,0.5058823529411764,2494,16,0.4338837391175582,58,0,0,2786105.22252,0.1525825825825825,-0.900968867902419,3364,74071.73486331945,3,0.1525825825825825,0.0539109535435904,7056,0.1767939814814814,58,0.9116773290997972,9554.568738738732,0.1525825825825825,8.849789789789785,4,1.0,1.1828955247151272,0.0
0,33,1,1089,0.0,1,1,1,2016,0.1589300411522634,792,0,1199.8565065448497,24,1608,1.32,2211,76,-0.9749279121818236,0,0,0,1764103.95861,0.0,-0.2225209339563146,4489,39595.265915836535,5,0.0,0.0035153709724576,576,0.1405935275950047,67,0.9758228954267404,10753.20658436214,0.1589300411522634,10.648312757201648,25,1.0,0.5852093691287515,0.0
0,65,1,4225,1.0,1,1,1,2016,0.0,3575,1,230.769227218935,55,5500,1.1607142857142858,6500,45,-0.433883739117558,100,0,0,1669965.854,0.2128502415458937,-0.9009688679024191,10000,15000.0,4,0.2128502415458937,0.0389993910652211,3025,0.1770458794764849,100,2.128474735004896,9787.279806763285,0.2128502415458937,21.28502415458937,11,0.8,0.2609716845665484,0.0
0,51,1,2601,1.0,1,1,1,2016,0.0,4284,1,294.11764129181097,84,84,0.6,51,16,-0.9749279121818236,1,0,0,4998.0271,0.0833074935400516,-0.2225209339563146,1,15000.0,5,0.0833074935400516,0.0106797132667533,7056,0.1767939814814814,1,0.012023999903808,6845.126821705419,0.0833074935400516,0.0833074935400516,11,1.0,0.1825550403424422,0.0
0,51,1,2601,1.0,1,1,1,2016,0.0,2346,1,294.11764129181097,46,4462,1.0851063829787233,4947,54,-0.7818314824680299,97,0,0,1793535.68323,0.2271023965141612,0.6234898018587334,9409,15000.0,6,0.2271023965141612,0.0176340648938585,2116,0.1799418604651163,97,0.8584222729605834,25435.014204793028,0.2271023965141612,22.02893246187364,11,0.7,0.093751674136201,0.0
0,63,1,3969,1.0,0,1,1,2016,0.0,4536,1,1496.5404679357025,72,6840,0.863013698630137,5985,28,0.7818314824680298,95,0,0,3671262.2263,0.1174928774928775,0.6234898018587336,9025,94282.05097648971,1,0.1174928774928775,0.0644067966674849,5184,0.1767939814814814,95,1.5626542092969702,7025.369116809117,0.1174928774928775,11.161823361823362,14,0.9,1.4191030183199258,0.0
