claim_id,score,pred_proba_bad,score_band,fraud
0,584.6562448094663,0.027719532952022955,550-600,0.0
1,531.7110044793568,0.08832888066312412,500-550,0.0
2,528.4840203501535,0.09452006168443856,500-550,0.0
3,521.019969925141,0.11034746334175054,500-550,1.0
4,520.0933309111965,0.1124668934550829,500-550,0.0
5,444.7624251818971,0.419391113222559,<450,0.0
6,507.9743742674584,0.14359094019152918,500-550,0.0
7,502.32865960811927,0.16038909559201645,500-550,0.0
8,482.55668688905814,0.2317410451607005,450-500,0.0
9,550.8301062849664,0.058637314422694625,550-600,0.0
10,525.4045855832044,0.10078768799924796,500-550,0.0
11,537.6265980778542,0.07792416101936114,500-550,0.0
12,495.94560071818364,0.18125676766391355,450-500,1.0
13,452.6956246320793,0.3755289850717241,450-500,1.0
14,522.9706028397393,0.10600006232587567,500-550,0.0
15,580.4641237137014,0.030452882511701727,550-600,0.0
16,597.128393129349,0.020924771230418616,550-600,0.0
17,499.4693110333643,0.16948650305392574,450-500,0.0
18,464.2710761770478,0.31517852134258345,450-500,1.0
19,472.4756687550563,0.2757613161407454,450-500,0.0
20,533.1806556907472,0.08563244914407402,500-550,0.0
21,510.7594697517115,0.13585775857142243,500-550,0.0
22,503.56829536002294,0.15656949609741413,500-550,0.0
23,521.5285453089848,0.10919916853464215,500-550,0.0
24,508.41198379849016,0.14235204843726143,500-550,0.0
25,526.0780329267669,0.09938623189687057,500-550,0.0
26,490.54244900893525,0.20052496124267946,450-500,0.0
27,509.2024974121889,0.1401366767357363,500-550,0.0
28,536.9718707968686,0.07901805922493804,500-550,0.0
29,512.8945392859617,0.13016965804271335,500-550,0.0
30,547.9675329115937,0.06239651311998127,500-550,0.0
31,528.654303839899,0.09418387018050133,500-550,0.0
32,525.235991526804,0.10114127112315802,500-550,0.0
33,540.3968577860746,0.07344762505072781,500-550,0.0
34,475.8934825262752,0.2602723331054274,450-500,0.0
35,504.29270545198466,0.15437191031815664,500-550,0.0
36,565.8186663076661,0.04219807059283553,550-600,0.0
37,583.7049455084799,0.028318100234208936,550-600,0.0
38,536.1618860354963,0.0803907758656047,500-550,0.0
39,505.07992736992196,0.15201243461758238,500-550,0.0
40,481.48466914984726,0.23618009178273625,450-500,0.0
41,503.2457196637618,0.15755623748343286,500-550,0.0
42,503.7261968606935,0.15608832156021066,500-550,0.0
43,528.2868873464554,0.094910604311315,500-550,0.0
44,521.6016543400272,0.10903496273980087,500-550,0.0
45,515.3448536962543,0.12389258033315591,500-550,0.0
46,505.3395682789245,0.1512407515854661,500-550,0.0
47,537.6840989603656,0.07782875539723563,500-550,0.0
48,584.6562448094663,0.027719532952022955,550-600,0.0
49,503.75145968898937,0.15601144987526425,500-550,0.0
50,451.31875466702286,0.38301825033418585,450-500,0.0
51,464.8305769230078,0.3123949879277646,450-500,1.0
52,513.7122116317565,0.12804547873310812,500-550,0.0
53,503.51821545419836,0.15672235711049726,500-550,0.0
54,467.5094936656071,0.29925619401292136,450-500,1.0
55,509.9431123922666,0.13808739696193464,500-550,0.0
56,508.85959801542975,0.14109406888659107,500-550,0.0
57,515.4401711511925,0.12365373346706596,500-550,1.0
58,580.4641237137014,0.030452882511701727,550-600,0.0
59,509.5699139056324,0.13911687257628866,500-550,0.0
60,529.1945927765398,0.09312425859394453,500-550,0.0
61,548.5749324593731,0.06158050937866297,500-550,0.0
62,565.0587347708016,0.04291345712557759,550-600,0.0
63,543.730342153141,0.06837533527131866,500-550,0.0
64,572.1401418371481,0.03667400784104854,550-600,0.0
65,502.7583105986507,0.15905677822446182,500-550,0.0
66,495.94560071818364,0.18125676766391355,450-500,0.0
67,446.7797323566892,0.40808607154287146,<450,0.0
68,506.52786402575146,0.14775002094710174,500-550,0.0
69,464.6337302676745,0.31337277729077,450-500,0.0
70,490.4044940004361,0.2010364421390757,450-500,0.0
